Overview
Date,13-09-2012,13-09-2012,13-09-2012
Total courses,129376,136020,135357
Total successful providers,211,211,201
Total uploaded providers,0,0,0
Total failed providers,15,17,14
Total running providers,6,8,4
Total time ,1 days 8 min 44 sec,15 hours 38 min 57 sec,1 days 6 hours 14 min 7 sec


Detail Successful Providers
Provider_id,Courses Number,Courses Number,Courses Number
68,9,9,9
18,11,11,11
3,50,50,94
24,52,49,49
420,72,72,72
16,17,17,16
32,13,13,13
53,12,12,12
42,101,101,89
37,17,13,12
31,149,149,149
57,14,14,14
6,204,207,207
41,67,67,67
44,87,88,88
28,245,244,245
9,199,199,199
33,1,9339,10697
46,216,216,216
55,174,174,174
29,15,60,60
50,31,31,31
80,112,112,110
146,245,246,245
164,24,24,24
82,29,28,28
76,208,208,208
77,122,113,118
102,135,135,135
127,45,45,45
92,223,223,223
83,407,405,405
43,249,250,249
100,75,75,75
104,79,79,79
5,492,492,492
39,194,194,194
120,22,22,22
195,86,86,86
106,244,244,242
119,76,76,76
145,10,10,10
49,632,631,633
126,152,152,152
165,52,52,52
173,236,235,233
182,147,147,146
117,1031,1031,1031
131,37,32,32
85,730,699,693
191,137,137,137
14,1655,1652,1653
197,1,12,12
112,31,31,31
121,532,532,532
202,27,27,27
132,629,623,624
110,25,26,26
167,147,147,147
201,158,158,158
233,44,44,44
196,186,252,573
207,115,113,111
154,681,680,679
242,154,154,154
113,120,120,120
166,1701,1702,1699
160,1905,1887,1433
118,1025,1024,1023
176,51,51,51
170,161,164,145
183,32,30,32
205,2333,2338,2341
172,1755,1755,1755
174,341,341,314
185,186,186,186
179,12,12,12
27,2335,2226,2219
220,425,425,425
188,21,20,20
268,404,401,398
128,363,364,361
250,115,116,115
252,42,41,41
125,3500,3500,3500
134,2342,2341,2323
253,14,14,14
203,10,10,10
133,2764,2745,2750
212,207,231,231
260,27,27,27
211,523,519,519
135,170,170,169
138,59,59,58
137,354,354,352
140,139,139,139
223,15,15,15
274,535,491,482
417,1341,1361,1361
265,57,57,57
285,10,10,10
239,23,23,23
240,29,29,29
284,790,790,788
295,248,249,249
151,57,57,57
156,4,4,4
281,524,523,530
282,139,138,137
244,54,54,54
45,262,262,262
323,857,815,815
245,28,28,28
181,40,41,41
208,69,69,69
320,17,17,17
255,376,376,376
209,326,329,329
336,28,28,28
259,75,75,75
304,11,11,11
270,125,124,121
271,201,205,205
308,42,42,42
192,544,542,542
414,955,947,948
216,724,717,716
311,411,410,410
341,13,13,13
313,712,706,705
273,210,210,210
354,535,535,535
327,88,88,88
277,41,41,41
345,537,543,543
337,2411,2417,2419
227,313,313,313
380,381,377,377
218,371,369,369
300,67,67,67
330,185,184,184
230,9379,9554,9589
389,121,121,121
275,108,108,108
333,109,61,109
343,105,109,109
399,89,89,89
276,46,43,39
279,60,60,56
400,122,129,122
286,15,15,15
309,32,32,32
358,1939,1932,1929
310,76,76,76
283,56,62,61
370,7,7,7
288,114,112,112
340,713,712,711
401,81,81,81
365,301,301,298
374,922,922,922
402,126,125,124
362,3723,3723,3723
377,31,31,31
373,58,58,58
305,55,55,55
392,67,65,64
385,360,696,707
175,20636,19797,19797
315,329,329,329
382,81,81,81
318,39,39,39
394,162,162,162
407,10,10,10
418,28,28,28
405,319,319,319
409,8,8,8
317,48,48,48
396,89,89,89
390,13,13,13
386,7504,7315,7249
410,46,46,46
325,1164,1160,1160
314,1038,1037,1037
193,7432,1361,7376
1,96,96,
66,13,,
93,57,,58
171,895,,
237,107,,
258,164,,
334,1752,,
159,2254,2254,
348,3013,3021,
139,5866,,
368,1123,,
416,817,,817
372,178,,178
422,24,24,
428,122,122,
67,813,806,
427,530,530,
466,5,5,
421,803,790,
431,12,15,
443 ,12,,
433,775,766,
297,395,392,
445,475,,
81,630,,
95,,126,129
107,,143,143
142,,248,232
108,,728,729
321,,28,28
204,,192,192
359,,219,219
249,,241,242
371,,11,11
266,,706,694
12,,8,
393,,13537,13537


Detail Failed Providers
Provider_id,Status/Notes,Status/Notes,Status/Notes
78,KO // Average percentage of null percent is 0.44,KO // Average percentage of null percent is 0.42,KO // Average percentage of null percent is 0.45
105,KO // Average percentage of null percent is 0.5,KO,KO
124,KO // Average percentage of null percent is 0.69,KO,KO
278,KO,KO,KO
251,KO // Average percentage of null percent is 0.44,KO // Average percentage of null percent is 0.44,KO // Average percentage of null percent is 0.44
246,KO // Average percentage of null percent is 0.42,KO // Average percentage of null percent is 0.42,KO // Average percentage of null percent is 0.42
339,KO,KO,KO
369,KO,KO,KO
95,KO
107,KO
142,KO
204,KO
359,KO
266,KO // Average percentage of null percent is 0.55
12,KO
93,KO // Average percentage of null percent is 0.5
114,KO,KO
237,KO // Average percentage of null percent is 0.55,KO // Average percentage of null percent is 0.55
258,KO,KO
334,KO,KO
368,KO,KO
372,KO
81,KO
1,KO
